,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_log,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_sqrt,aleatorio2_sqr,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,15.9,2,1.0,M,***,1.0,6.666666666666667,0.9998857794642695,0.5286810897351142,8.309692455502395,5.573396220385179,13.568870638151989,2.5046464762945457,1.4529331297487582,1.827965793279448,1.1801019246968614,2.117521122113253,1.3645593560288818,1e-08,1.8603051532900865,3.353549169131858,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.49361917086364515,0.43128065529436455,37.42227238131819,5.132738376365246,11.206764266785662,9.30687332088374,1.334062311994449,1.7175938445772096,1.104466924575206,2.4908018897347284,1.6712221139600012,2.613945453915255,1.306993836022929,2.2307992687925307,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,0.34,11.6,2,6.23,B,***,2.0,6.666666666666667,0.8601940145456092,0.3345944674507162,1.1722134088067866,21.566660754236345,8.69821833594802,9.36513025391767,1.4669761189077763,1.752295051111865,1.0531753743308172,1.808672680389365,1.3645593560288818,12.621666713927839,1.7254493683598406,1.3418408176218637,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.6292377259797695,0.3805351626716884,9.157458189220398,49.72799231354871,10.51128085039416,8.473320846750436,1.338270760639726,2.3820977590809562,1.022639732108377,2.056719705221172,0.9649150833430776,0.9569795554811767,1.4757007574078964,1.7362101058622967,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.9040986120148761,0.5860111077319332,5.697821499386788,22.873544668585676,8.768504295220927,4.214443263547926,1.0636626272817344,1.704398754904912,1.196522154506098,1.8850189904905081,1.6712221139600012,5.055725657727148,1.7689422077906998,4.121025542779134,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.058817796244970744,0.10439200082362754,8.76700635337258,25.729692801047534,10.348062243056342,6.034304368205743,1.5442672845384544,1.6687018261210722,0.7271878819116699,1.696023951238497,2.1575230219663686,6.489115658005625,0.45068388098860235,0.12979801050072895,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.3978048431798923,0.018660834518156144,9.63722869738497,4.15304938293947,8.981059160908615,20.96910017290835,1.1944532188185222,1.8966625346238295,0.4533143576679427,1.0487606714211384,1.3645593560288818,0.0266099460777734,1.1732689973532147,0.003975057740711379,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.24397972774621168,0.3654841342989117,9.556416316846391,21.566660754236345,8.680691038522216,9.40406918869189,1.1237293917155065,1.6322243881520055,1.574458126712862,1.8395914646127416,1.6712221139600012,5.4606323452814305,0.9187361522786957,1.6014190954055523,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.4255040121116156,0.24965382562244398,11.150034582842142,124.50584353393879,8.963249032171312,5.802395600977254,1.3431715845886592,2.484165498735474,1.5899619946029997,1.8472403010026475,1.9297524380738358,1.1087529049606288,1.2134430864623,0.7463100763845069,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,1.0,0.0,0.9090623224313245,0.7552580210588017,13.434039141430127,21.31438440173779,4.556874708854917,5.3522102879863604,1.3054638779196126,1.6955449810948724,1.132636881020674,1.793013362705992,0.9649150833430776,8.374099088551626,1.7737922683858394,6.847662360286886,346
