,month,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,yr_built,lat,long,bedrooms_cont,log_sqft_lot,prop_missings,year,floors,waterfront,view,condition,basement,yr_renovated,bedrooms_cat,price,Luxury
0,7.0,3.0,2.5,2070.0,13386.949853855911,1540.0,1980.0,47.5936,-122.013,3.0,9.182077085831281,10.526315789473683,2014,1.0,0,0,CD,1,0,3,653450,1
1,6.0,2.0,1.5,1640.0,12756.992142603202,1540.0,1916.0,47.6624,-122.325,2.0,9.04287136402985,10.526315789473683,2014,1.5,0,0,A,1,0,2,710000,1
2,10.0,4.0,3.5,3720.0,29172.70247392155,3720.0,2007.0,47.3216,-121.94,4.0,9.993406055871844,10.526315789473683,2014,1.0,0,1,B,0,0,4,780000,1
3,12.0,3.0,3.5,2260.0,15707.597075710617,1880.0,2003.0,47.6422,-122.361,3.0,8.38647119980331,10.526315789473683,2014,2.0,0,0,B,1,0,3,795000,1
4,10.0,3.0,2.0,2050.0,11165.954457871794,1170.0,1960.0,47.7447,-122.328,3.0,8.718565974554565,10.526315789473683,2014,1.0,0,0,A,1,0,3,399950,0
5,6.0,2.0,1.0,930.0,7811.164016716588,930.0,1986.0,47.4866,-122.303,2.0,8.50565169642681,10.526315789473683,2014,1.0,0,0,B,0,0,2,230000,0
6,7.0,3.0,2.5,2000.0,16005.160143512754,2000.0,1993.0,47.3508,-122.057,3.0,9.238358729658245,10.526315789473683,2014,2.0,0,0,CD,0,0,3,290000,0
7,6.0,3.0,2.5,3350.0,21548.210299530045,2550.0,2005.0,47.7277,-122.207,3.0,9.139753154717198,10.526315789473683,2014,2.0,0,0,B,1,0,3,635000,1
8,6.0,3.0,2.0,2000.0,11849.604982464514,1300.0,1968.0,47.4346,-122.171,3.0,9.160855742143497,10.526315789473683,2014,1.0,0,0,CD,1,0,3,295000,0
9,7.0,4.0,4.5,5010.0,33005.16739428862,4000.0,2014.0,47.5455,-122.211,4.0,9.668285577172583,10.526315789473683,2014,2.0,0,1,B,1,0,4,2351960,1
